Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gambia,0.01,0.06,0.14,0.18,0.26,0.08,0.44,0.24,0.22,0.15,0.08,0.13,0.04,0.08,0.06,0.01,0.0,0.0,0.5,0.0,0.0,0.12
Timor-Leste,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.04,0.04,0.32,0.31,-0.02,-0.02,-0.04,0.0,-0.32,0.0,0.0,-0.01,0.01,0.1
Honduras,0.2,0.18,0.15,0.25,0.29,0.2,0.36,0.0,0.28,0.22,0.75,0.68,0.0,0.0,391.0,15.97,42.48,59.91,3.43,7.13,3.63,0.1
Marshall Islands,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.08,0.11,0.06,0.0,0.09,0.18,0.43,0.0,0.6,0.06,0.02,0.0,0.0,0.0,0.07
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.17,0.56,1.7,0.09,0.07,0.03,0.69,0.17,0.07,0.06
Jamaica,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.1,0.3,0.5,0.3,0.31,2.0,2.4,21.0,28.0,0.0,37.0,0.0,0.0,0.05
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.04,0.01,0.09,0.16,1.32,0.9,1.42,0.52,0.14,-0.02,0.04
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,1.13,95.2,0.0,0.0,0.03
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.23,3.42,0.03
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.96,1.23,0.11,0.0,1.82,0.74,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.0,0.0,0.0,0.0,0.07,1.78,0.16,0.01,0.01,0.0,0.07,0.0,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.07,0.09,0.04,0.21,0.18,0.32,1.16,0.1,0.38,0.61,0.33,0.05,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,1.5,0.35,0.89,-0.35,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.01,0.25,0.6,0.9,1.09,1.27,0.0
Palau,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.25,0.0,0.01,0.29,0.09,0.07,0.39,0.0,0.97,0.0,0.4,0.12,0.3,1.42,0.0
